阿根廷	a gen ting
第二章	di er zhang
地方	di fang
地方政府	di fang zheng fu
递给	di gei
帝国	di guo
低价	di jia
递交	di jiao
第九条	di jiu tiao
抵抗	di kang
地块	di kuai
地理	di li
地理位置	di li wei zhi
第六	di liu
第六条	di liu tiao
第六章	di liu zhang
地面	di mian
地名	di ming
第七条	di qi tiao
第七张	di qi zhang
第七章	di qi zhang
地球	di qiu
地区	di qu
的确	di que
敌人	di ren
敌人的	di ren de
第三	di san
第三次	di san ci
第三方	di san fang
第三个	di san ge
第三节	di san jie
第三届	di san jie
第三人	di san ren
第三十条	di san shi tiao
第三条	di san tiao
第三章	di san zhang
地上	di shang
第十	di shi
第十八条	di shi ba tiao
第十二条	di shi er tiao
第十九条	di shi jiu tiao
第十六条	di shi liu tiao
第十七条	di shi qi tiao
第十三条	di shi san tiao
第十四条	di shi si tiao
第十条	di shi tiao
第十五条	di shi wu tiao
第十一条	di shi yi tiao
地税	di shui
第四节	di si jie
第四条	di si tiao
第四章	di si zhang
地毯	di tan
地铁	di tie
低头	di tou
地图	di tu
地位	di wei
低温	di wen
第五	di wu
第五条	di wu tiao
第五章	di wu zhang
地下	di xia
地形	di xing
抵押	di ya
第一	di yi
第一步	di yi bu
第一次	di yi ci
第一个	di yi ge
第一家	di yi jia
第一节	di yi jie
第一款	di yi kuan
第一名	di yi ming
第一批	di yi pi
第一时间	di yi shi jian
第一天	di yi tian
第一条	di yi tiao
第一位	di yi wei
第一章	di yi zhang
低于	di yu
地域	di yu
地狱	di yu
地震	di zhen
地址	di zhi
地质	di zhi
抵制	di zhi
弟子	di zi
点播	dian bo
电厂	dian chang
电池	dian chi
典当	dian dang
点的	dian de
奠定了	dian ding le
电动	dian dong
典范	dian fan
淀粉	dian fen
电工	dian gong
电话	dian hua
电话号码	dian hua hao ma
点击	dian ji
电机	dian ji
点击查看	dian ji cha kan
点击次数	dian ji ci shu
点击数	dian ji shu
电缆	dian lan
点了	dian le
点了点头	dian le dian tou
电力	dian li
店里	dian li
电流	dian liu
电路	dian lu
店面	dian mian
电脑	dian nao
点评	dian ping
店铺	dian pu
电器	dian qi
电气	dian qi
点券	dian quan
点燃	dian ran
电容	dian rong
电商	dian shang
点上	dian shang
电视	dian shi
电视机	dian shi ji
电视剧	dian shi ju
电视台	dian shi tai
点数	dian shu
电台	dian tai
电梯	dian ti
点头	dian tou
电网	dian wang
电线	dian xian
电信	dian xin
点心	dian xin
典型	dian xing
典型的	dian xing de
电压	dian ya
典雅	dian ya
电影	dian ying
点映	dian ying
电源	dian yuan
电站	dian zhan
店主	dian zhu
电子	dian zi
电子产品	dian zi chan pin
电子公告	dian zi gong gao
电子商务	dian zi shang wu
电子书	dian zi shu
电子信息	dian zi xin xi
电子信箱	dian zi xin xiang
电子邮件	dian zi you jian
电子邮箱	dian zi you xiang
电子政务	dian zi zheng wu
电阻	dian zu
调查	diao cha
调查报告	diao cha bao gao
调查研究	diao cha yan jiu
调动	diao dong
调度	diao du
雕刻	diao ke
掉了	diao le
雕塑	diao su
吊销	diao xiao
调研	diao yan
调用	diao yong
钓鱼	diao yu
顶部	ding bu
订单	ding dan
顶端	ding duan
定额	ding e
订购	ding gou
订货	ding huo
顶级	ding ji
定价	ding jia
定了	ding le
订立	ding li
定量	ding liang
定期	ding qi
定时	ding shi
定位	ding wei
定为	ding wei
定位器	ding wei qi
定向	ding xiang
丁香	ding xiang
定要	ding yao
定义	ding yi
订阅	ding yue
盯着	ding zhe
丢了	diu le
丢了吧	diu le ba
丢了吗	diu le ma
丢失	diu shi
东北	dong bei
东部	dong bu
懂得	dong de
东方	dong fang
东风	dong feng
动感	dong gan
东莞	dong guan
东莞市	dong guan shi
东海	dong hai
动画	dong hua
动画片	dong hua pian
冬季	dong ji
动机	dong ji
动力	dong li
东路	dong lu
动漫	dong man
东盟	dong meng
东南	dong nan
东南亚	dong nan ya
动人	dong ren
董事会	dong shi hui
董事长	dong shi zhang
动手	dong shou
动态	dong tai
冬天	dong tian
动物	dong wu
东西	dong xi
动员	dong yuan
动作	dong zuo
都被	dou bei
都比	dou bi
都必须	dou bi xu
都不	dou bu
都不会	dou bu hui
都不能	dou bu neng
都不是	dou bu shi
都得	dou dei
都对	dou dui
豆腐	dou fu
都很	dou hen
都会	dou hui
都将	dou jiang
豆浆	dou jiang
都看	dou kan
都可	dou ke
都可以	dou ke yi
都没	dou mei
都没有	dou mei you
都能	dou neng
都是	dou shi
都说	dou shuo
都无法	dou wu fa
都想	dou xiang
都需要	dou xu yao
都要	dou yao
都已	dou yi
都以	dou yi
都已经	dou yi jing
都应	dou ying
都应该	dou ying gai
都用	dou yong
都有	dou you
豆油	dou you
都在	dou zai
斗争	dou zheng
都知道	dou zhi dao
赌博	du bo
督察	du cha
督促	du cu
督导	du dao
度过	du guo
都会	du hui
独家	du jia
度假	du jia
杜绝	du jue
独立	du li
毒品	du pin
读取	du qu
都市	du shi
读书	du shu
独特	du te
独有	du you
读者	du zhe
独自	du zi
肚子	du zi
端口	duan kou
锻炼	duan lian
短期	duan qi
短缺	duan que
短线	duan xian
短信	duan xin
短暂	duan zan
对本	dui ben
对比	dui bi
对不	dui bu
对不起	dui bu qi
对策	dui ce
对冲	dui chong
对此	dui ci
对待	dui dai
对方	dui fang
对付	dui fu
对话	dui hua
对话框	dui hua kuang
对价	dui jia
对接	dui jie
对抗	dui kang
对了	dui le
对立	dui li
对面	dui mian
对你	dui ni
对您	dui nin
对其	dui qi
对人	dui ren
对手	dui shou
对所有	dui suo you
对他	dui ta
对她	dui ta
对它	dui ta
对外	dui wai
对外开放	dui wai kai fang
对外贸易	dui wai mao yi
对我	dui wo
对我国	dui wo guo
对我说	dui wo shuo
队伍	dui wu
队伍建设	dui wu jian she
兑现	dui xian
对象	dui xiang
对学生	dui xue sheng
对应	dui ying
对于	dui yu
队员	dui yuan
队长	dui zhang
对照	dui zhao
对着	dui zhe
对这	dui zhe
对中国	dui zhong guo
对自己的	dui zi ji de
顿时	dun shi
多层	duo ceng
多层次	duo ceng ci
多次	duo ci
多大	duo da
多达	duo da
多的	duo de
多方	duo fang
多方面的	duo fang mian de
多个	duo ge
多功能	duo gong neng
多家	duo jia
多久	duo jiu
多了	duo le
多么	duo me
多媒体	duo mei ti
多名	duo ming
多年	duo nian
多年来	duo nian lai
多普达	duo pu da
多人	duo ren
多少	duo shao
多少钱	duo shao qian
多是	duo shi
多数	duo shu
多万	duo wan
多为	duo wei
多位	duo wei
多谢	duo xie
多样	duo yang
多样化	duo yang hua
多元	duo yuan
多元化	duo yuan hua
多月	duo yue
躲在	duo zai
多种	duo zhong
额度	e du
俄国	e guo
恶化	e hua
恶劣	e lie
俄罗斯	e luo si
恶魔	e mo
额外	e wai
恶心	e xin
恶意	e yi
遏制	e zhi
而被	er bei
耳边	er bian
而不	er bu
而不能	er bu neng
而不是	er bu shi
而产生	er chan sheng
而成	er cheng
而出	er chu
二等奖	er deng jiang
而定	er ding
而对	er dui
而对于	er dui yu
耳朵	er duo
而非	er fei
二个	er ge
而后	er hou
耳机	er ji
而来	er lai
二楼	er lou
而你	er ni
二年	er nian
二年级	er nian ji
而其	er qi
二期	er qi
而且	er qie
而且是	er qie shi
而且在	er qie zai
而去	er qu
二人	er ren
而是	er shi
二是	er shi
二十	er shi
而使	er shi
二手	er shou
二手车	er shou che
二手房	er shou fang
而他	er ta
儿童	er tong
而我	er wo
而我们	er wo men
而无	er wu
而现在	er xian zai
而言	er yan
而已	er yi
而又	er you
而有	er you
而在	er zai
而这	er zhe
二者	er zhe
而这些	er zhe xie
儿子	er zi
二字	er zi
发表	fa biao
发表评论	fa biao ping lun
发表日期	fa biao ri qi
发表时间	fa biao shi jian
发表于	fa biao yu
发表者	fa biao zhe
发病	fa bing
发布	fa bu
发布了	fa bu le
发布人	fa bu ren
发布日期	fa bu ri qi
发布时间	fa bu shi jian
发布信息	fa bu xin xi
发布者	fa bu zhe
发出	fa chu
发达	fa da
发达的	fa da de
发达国家	fa da guo jia
发的	fa de
发电	fa dian
法定	fa ding
发动	fa dong
发动机	fa dong ji
发放	fa fang
发改委	fa gai wei
发给	fa gei
法官	fa guan
发光	fa guang
法规	fa gui
法国	fa guo
发挥	fa hui
发货	fa huo
发酵	fa jiao
罚款	fa kuan
发蜡	fa la
发了	fa le
法律	fa lv
法律法规	fa lv fa gui
法律顾问	fa lv gu wen
法律规定	fa lv gui ding
法律援助	fa lv yuan zhu
法律责任	fa lv ze ren
阀门	fa men
发明	fa ming
发票	fa piao
发起	fa qi
发热	fa re
法人	fa ren
法人代表	fa ren dai biao
发射	fa she
发生	fa sheng
发生变化	fa sheng bian hua
发生的	fa sheng de
发生了	fa sheng le
发生在	fa sheng zai
法师	fa shi
发售	fa shou
发送	fa song
发送到	fa song dao
发帖	fa tie
发帖数	fa tie shu
法庭	fa ting
发现	fa xian
发现的	fa xian de
发现了	fa xian le
发现了个	fa xian le ge
发现自己	fa xian zi ji
发行	fa xing
发型	fa xing
发行公司	fa xing gong si
发行日期	fa xing ri qi
法学	fa xue
法学院	fa xue yuan
发言	fa yan
发扬	fa yang
法医	fa yi
发音	fa yin
发育	fa yu
法语	fa yu
法院	fa yuan
法则	fa ze
发展	fa zhan
发展到	fa zhan dao
发展方向	fa zhan fang xiang
发展规划	fa zhan gui hua
发展空间	fa zhan kong jian
发展趋势	fa zhan qu shi
发展战略	fa zhan zhan lve
发展中	fa zhan zhong
发证	fa zheng
法治	fa zhi
法制	fa zhi
发作	fa zuo
范畴	fan chou
饭店	fan dian
反对	fan dui
反而	fan er
反复	fan fu
繁华	fan hua
返还	fan huan
返回	fan hui
反击	fan ji
反抗	fan kang
反馈	fan kui
反垄断	fan long duan
烦恼	fan nao
繁荣	fan rong
反射	fan she
凡是	fan shi
反思	fan si
饭贴	fan tie
范围	fan wei
范围内	fan wei nei
翻译	fan yi
反应	fan ying
反映	fan ying
反映出	fan ying chu
反映的	fan ying de
反映了	fan ying le
反正	fan zheng
繁殖	fan zhi
反之	fan zhi
犯罪	fan zui
妨碍	fang ai
方案	fang an
方便	fang bian
方便的	fang bian de
方便面	fang bian mian
房产	fang chan
放大	fang da
放到	fang dao
房地产	fang di chan
房地产业	fang di chan ye
方法	fang fa
方法是	fang fa shi
防范	fang fan
仿佛	fang fu
防护	fang hu
防火	fang huo
防火墙	fang huo qiang
房价	fang jia
房间	fang jian
房间里	fang jian li
放开	fang kai
方可	fang ke
访客	fang ke
放了	fang le
仿冒	fang mao
方面	fang mian
放弃	fang qi
放弃了	fang qi le
放入	fang ru
方式	fang shi
防守	fang shou
防水	fang shui
放松	fang song
访谈	fang tan
访问	fang wen
访问量	fang wen liang
房屋	fang wu
放下	fang xia
方向	fang xiang
放心	fang xin
放行	fang xing
房型	fang xing
防汛	fang xun
防御	fang yu
房源	fang yuan
放在	fang zai
方针	fang zhen
仿真	fang zhen
防止	fang zhi
纺织品	fang zhi pin
房子	fang zi
房租	fang zu
诽谤	fei bang
非常	fei chang
非常好	fei chang hao
非常重	fei chang zhong
非常重要	fei chang zhong yao
翡翠	fei cui
非典	fei dian
非法	fei fa
非凡	fei fan
飞机	fei ji
飞利浦	fei li pu
肥胖	fei pang
废物	fei wu
飞翔	fei xiang
飞行	fei xing
飞扬	fei yang
非要	fei yao
费用	fei yong
飞跃	fei yue
废止	fei zhi
非洲	fei zhou
分辨率	fen bian lv
分别	fen bie
分别为	fen bie wei
分布	fen bu
分部	fen bu
分成	fen cheng
分店	fen dian
奋斗	fen dou
份额	fen e
吩咐	fen fu
分割	fen ge
分工	fen gong
分公司	fen gong si
分管	fen guan
分行	fen hang
分会	fen hui
分级	fen ji
分解	fen jie
分局	fen ju
分居	fen ju
分开	fen kai
分类	fen lei
分离	fen li
分裂	fen lie
分泌	fen mi
分明	fen ming
愤怒	fen nu
分配	fen pei
分区	fen qu
分散	fen san
分手	fen shou
分数	fen shu
粉丝	fen si
分为	fen wei
分析	fen xi
分析师	fen xi shi
分享	fen xiang
分销	fen xiao
分页	fen ye
分支	fen zhi
分值	fen zhi
分支机构	fen zhi ji gou
分钟	fen zhong
分子	fen zi
分组	fen zu
风暴	feng bao
封闭	feng bi
风采	feng cai
丰富	feng fu
丰富多彩	feng fu duo cai
风格	feng ge
风光	feng guang
丰厚	feng hou
风华	feng hua
凤凰	feng huang
封建	feng jian
风景	feng jing
风景区	feng jing qu
疯狂	feng kuang
蜂蜜	feng mi
封面	feng mian
风情	feng qing
风扇	feng shan
风水	feng shui
丰田	feng tian
风味	feng wei
风险	feng xian
奉献	feng xian
风险投资	feng xian tou zi
风雨	feng yu
风云	feng yun
封装	feng zhuang
疯子	feng zi
佛法	fo fa
佛教	fo jiao
佛山	fo shan
佛山市	fo shan shi
否定	fou ding
否认	fou ren
否则	fou ze
腐败	fu bai
副本	fu ben
腹部	fu bu
副部长	fu bu zhang
复查	fu cha
扶持	fu chi
付出	fu chu
服从	fu cong
附带	fu dai
负担	fu dan
辅导	fu dao
扶到	fu dao
浮动	fu dong
幅度	fu du
付费	fu fei
夫妇	fu fu
覆盖	fu gai
富贵	fu gui
富含	fu han
符号	fu hao
符合	fu he
复合	fu he
负荷	fu he
符合国家	fu he guo jia
符合条件	fu he tiao jian
副会长	fu hui zhang
附加	fu jia
附件	fu jian
福建	fu jian
福建省	fu jian sheng
副教授	fu jiao shou
附近	fu jin
副局长	fu ju zhang
付款	fu kuan
付款方式	fu kuan fang shi
福利	fu li
附录	fu lu
副秘书长	fu mi shu zhang
父母	fu mu
妇女	fu nv
扶贫	fu pin
夫妻	fu qi
父亲	fu qin
夫人	fu ren
辐射	fu she
服饰	fu shi
服侍	fu shi
腐蚀	fu shi
副市长	fu shi zhang
附属	fu shu
副书记	fu shu ji
副所长	fu suo zhang
福田区	fu tian qu
服务	fu wu
服务费	fu wu fei
服务机构	fu wu ji gou
服务器	fu wu qi
服务热线	fu wu re xian
服务商	fu wu shang
服务条款	fu wu tiao kuan
服务项目	fu wu xiang mu
服务业	fu wu ye
服务于	fu wu yu
服务员	fu wu yuan
服务质量	fu wu zhi liang
服务中心	fu wu zhong xin
复习	fu xi
腹泻	fu xie
复兴	fu xing
复印	fu yin
复印件	fu yin jian
服用	fu yong
富有	fu you
负有	fu you
赋予	fu yu
富裕	fu yu
副院长	fu yuan zhang
复杂	fu za
负载	fu zai
负责	fu ze
附则	fu ze
负责人	fu ze ren
负债	fu zhai
复制	fu zhi
福州	fu zhou
福州市	fu zhou shi
辅助	fu zhu
副主任	fu zhu ren
副主席	fu zhu xi
服装	fu zhuang
副总裁	fu zong cai
副总经理	fu zong jing li
副作用	fu zuo yong
改变	gai bian
改编	gai bian
改变了	gai bian le
改成	gai cheng
改动	gai dong
改革	gai ge
改革开放	gai ge kai fang
该公司	gai gong si
该机	gai ji
改建	gai jian
改进	gai jin
概况	gai kuang
概括	gai kuo
改良	gai liang
概论	gai lun
概率	gai lv
概念	gai nian
该企业	gai qi ye
该如何	gai ru he
该软件	gai ruan jian
改善	gai shan
该是	gai shi
该市	gai shi
概述	gai shu
改为	gai wei
该项	gai xiang
该项目	gai xiang mu
该校	gai xiao
改造	gai zao
盖章	gai zhang
改正	gai zheng
改制	gai zhi
改装	gai zhuang
干部	gan bu
干脆	gan cui
感到	gan dao
赶到	gan dao
干的	gan de
感动	gan dong
尴尬	gan ga
感激	gan ji
赶紧	gan jin
干净	gan jing
感觉	gan jue
感觉到	gan jue dao
感慨	gan kai
赶快	gan kuai
感冒	gan mao
感情	gan qing
感染	gan ran
干扰	gan rao
干什么	gan shen me
感受	gan shou
感受到	gan shou dao
甘肃	gan su
甘肃省	gan su sheng
感叹	gan tan
感悟	gan wu
感谢	gan xie
感性	gan xing
感兴趣	gan xing qu
感兴趣的	gan xing qu de
感应	gan ying
干预	gan yu
敢于	gan yu
肝脏	gan zang
干燥	gan zao
感知	gan zhi
刚才	gang cai
钢管	gang guan
刚好	gang hao
刚开始	gang kai shi
港口	gang kou
钢琴	gang qin
钢铁	gang tie
岗位	gang wei
刚要	gang yao
港元	gang yuan
告别	gao bie
高层	gao ceng
高层次	gao ceng ci
高潮	gao chao
高出	gao chu
高达	gao da
高大	gao da
高档	gao dang
高的	gao de
搞得	gao de
高等	gao deng
高等教育	gao deng jiao yu
高等学校	gao deng xue xiao
高等院校	gao deng yuan xiao
高低	gao di
高度	gao du
高度重视	gao du zhong shi
高端	gao duan
高二	gao er
高尔夫	gao er fu
高峰	gao feng
高贵	gao gui
搞好	gao hao
高级	gao ji
高级会员	gao ji hui yuan
稿件	gao jian
高考	gao kao
高科技	gao ke ji
高品质	gao pin zhi
高清	gao qing
高三	gao san
高山	gao shan
高手	gao shou
告诉	gao su
高速	gao su
高速公路	gao su gong lu
告诉你	gao su ni
告诉他	gao su ta
告诉我	gao su wo
告诉我们	gao su wo men
高素质	gao su zhi
高位	gao wei
高温	gao wen
高效的	gao xiao de
高血压	gao xie ya
高新技术	gao xin ji shu
高新区	gao xin qu
高兴	gao xing
高性能	gao xing neng
高血压	gao xue ya
高压	gao ya
高雅	gao ya
高一	gao yi
高于	gao yu
高原	gao yuan
告知	gao zhi
高职	gao zhi
高质量	gao zhi liang
高质量的	gao zhi liang de
高中	gao zhong
个别	ge bie
胳膊	ge bo
各部门	ge bu men
歌唱	ge chang
歌词	ge ci
个词	ge ci
各大	ge da
各单位	ge dan wei
各地	ge di
各地区	ge di qu
各方	ge fang
各方面	ge fang mian
各个	ge ge
个股	ge gu
各国	ge guo
各级	ge ji
各级政府	ge ji zheng fu
各界	ge jie
格局	ge ju
各类	ge lei
隔离	ge li
歌迷	ge mi
革命	ge ming
革命的	ge ming de
歌曲	ge qu
个人	ge ren
个人观点	ge ren guan dian
个人信息	ge ren xin xi
个人意见	ge ren yi jian
个人资料	ge ren zi liao
歌声	ge sheng
格式	ge shi
各市	ge shi
格式的	ge shi de
歌手	ge shou
个数	ge shu
个体	ge ti
格外	ge wai
各位	ge wei
歌舞	ge wu
阁下	ge xia
各县	ge xian
各项	ge xiang
各项工作	ge xiang gong zuo
个性	ge xing
个性化	ge xing hua
各有	ge you
个月	ge yue
各种	ge zhong
各种各样	ge zhong ge yang
各自	ge zi
各自的	ge zi de
给出	gei chu
给大家	gei da jia
给了	gei le
给你	gei ni
给您	gei nin
给人	gei ren
给他	gei ta
给她	gei ta
给他们	gei ta men
给我	gei wo
给我们	gei wo men
给自己	gei zi ji
根本	gen ben
根本不	gen ben bu
根本利益	gen ben li yi
根据	gen ju
跟你	gen ni
跟随	gen sui
跟他	gen ta
跟我	gen wo
根源	gen yuan
跟着	gen zhe
跟踪	gen zong
更不	geng bu
更大	geng da
更多	geng duo
更多的人	geng duo de ren
更多信息	geng duo xin xi
更改	geng gai
更高	geng gao
更好	geng hao
更好的	geng hao de
更好地	geng hao de
更何况	geng he kuang
更换	geng huan
更加	geng jia
更具	geng ju
更快	geng kuai
更能	geng neng
更强	geng qiang
更容易	geng rong yi
更深	geng shen
更是	geng shi
更为	geng wei
更新	geng xin
更新日期	geng xin ri qi
更新时间	geng xin shi jian
更要	geng yao
更有	geng you
更优惠	geng you hui
更正	geng zheng
更重要	geng zhong yao
公安	gong an
公安部	gong an bu
公安机关	gong an ji guan
公安局	gong an ju
公布	gong bu
公布了	gong bu le
共产党	gong chan dang
共产党员	gong chan dang yuan
工厂	gong chang
工程	gong cheng
工程建设	gong cheng jian she
工程师	gong cheng shi
工程项目	gong cheng xiang mu
工程质量	gong cheng zhi liang
功德	gong de
工地	gong di
供电	gong dian
公分	gong fen
功夫	gong fu
工夫	gong fu
